### Module positions - created on Tue 10 Sep 2019 08:33:35 AM EDT ###
### Printed by Pcbnew version kicad 5.0.2-bee76a0~70~ubuntu18.10.1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                  Package                             PosX       PosY       Rot  Side
C1        100uF                CP_Elec_5x5.3                   112.1260   -95.4938  180.0000  top
C2        1_uF                 C_1206_3216Metric               148.0770   -85.6640  270.0000  top
C3        .1_uF                C_1206_3216Metric               148.1430   -92.7832  270.0000  top
C4        1_uF                 C_1206_3216Metric               147.5620  -101.0060    0.0000  top
C5        .1_uF                C_1206_3216Metric               131.9200  -103.1650    0.0000  top
C6        1_uF                 C_1206_3216Metric               132.5290   -77.3328    0.0000  top
C7        .1_uF                C_1206_3216Metric               141.2570   -77.3633    0.0000  top
C8        1_uF                 C_1206_3216Metric               123.1540   -92.3158   90.0000  top
C9        .1_uF                C_1206_3216Metric               123.2260   -84.8360   90.0000  top
C10       .1_uF                C_1206_3216Metric               146.7870   -69.7006   90.0000  top
C11       .1_uF                C_1206_3216Metric               106.5350  -103.3580  180.0000  top
C12       .1_uF                C_1206_3216Metric               100.0780  -103.3480  180.0000  top
C13       .1_uF                C_1206_3216Metric               103.7420  -117.9370  180.0000  top
C14       .1_uF                C_1206_3216Metric               125.2070  -105.1710    0.0000  top
C15       .1_uF                C_1206_3216Metric               119.1870  -105.1610    0.0000  top
C16       .1_uF                C_1206_3216Metric               122.1440  -118.9020  180.0000  top
C17       .1_uF                C_1206_3216Metric               146.1800  -106.3190    0.0000  top
C18       .1_uF                C_1206_3216Metric               139.2680  -106.3350    0.0000  top
C19       .1_uF                C_1206_3216Metric               142.3940  -120.6750  180.0000  top
C20       .1_uF                C_1206_3216Metric               162.7380  -104.6530    0.0000  top
C21       .1_uF                C_1206_3216Metric               157.1930  -104.9220    0.0000  top
C22       .1_uF                C_1206_3216Metric               160.2910  -119.4970  180.0000  top
C23       .1_uF                C_1206_3216Metric               180.1850  -105.1510    0.0000  top
C24       .1_uF                C_1206_3216Metric               174.1250  -105.0650    0.0000  top
C25       .1_uF                C_1206_3216Metric               177.1920  -119.6750  180.0000  top
D1        D_Schottky           D_1206_3216Metric               116.7540   -57.2800  270.0000  top
D2        D_Schottky           D_1206_3216Metric               111.7800   -57.1886   90.0000  top
D3        D_TVS_x2_AAC         SOT-23                          162.1330   -74.0214   90.0000  top
D4        D_Schottky           D_1206_3216Metric               103.0120   -65.2374    0.0000  top
D5        D_Schottky           D_1206_3216Metric               141.6080   -61.1683    0.0000  top
D6        D_Schottky           D_1206_3216Metric               118.8950   -70.6628    0.0000  top
D7        D_Schottky           D_1206_3216Metric               125.1790   -70.6628    0.0000  top
D8        D_Schottky           D_1206_3216Metric               159.1360   -88.4022    0.0000  top
D9        D_Schottky           D_1206_3216Metric               165.0090   -88.3006    0.0000  top
F1        Polyfuse_Small       R_1812_4532Metric               169.6160   -74.0258  180.0000  top
F2        Polyfuse_Small       R_1812_4532Metric               169.7540   -79.3902  180.0000  top
F3        Polyfuse_Small       R_1812_4532Metric               119.7950   -64.1350    0.0000  top
F4        Polyfuse_Small       R_1812_4532Metric               138.6430   -55.6057    0.0000  top
F5        Polyfuse_Small       R_1812_4532Metric                97.9830   -58.6435    0.0000  top
Q1        Q_NMOS_GDS           SOT-223-3_TabPin2               178.8160   -96.1441    0.0000  top
R1        0                    R_1206_3216Metric               113.2720   -63.0123    0.0000  top
R2        TBU                  TBU                             154.9800   -67.8129    0.0000  top
R3        TBU                  TBU                             154.8230   -73.1418    0.0000  top
R4        9k                   R_1206_3216Metric               172.9670   -85.6285    0.0000  top
R5        120                  R_1206_3216Metric               134.7960   -61.0565    0.0000  top
R6        1k                   R_1206_3216Metric               178.5500   -85.6031    0.0000  top
R7        10k                  R_1206_3216Metric               126.2110   -64.5312    0.0000  top
R8        430_.1%              R_1206_3216Metric                95.9968  -110.4340  270.0000  top
R9        430_.1%              R_1206_3216Metric               114.1320  -111.4180  270.0000  top
R10       430_.1%              R_1206_3216Metric               134.2290  -112.5550  270.0000  top
R11       430_.1%              R_1206_3216Metric               152.3850  -111.7780  270.0000  top
R12       430_.1%              R_1206_3216Metric               169.5300  -111.4840  270.0000  top
R13       10k                  R_1206_3216Metric               158.7110   -82.5856  180.0000  top
R14       120                  R_1206_3216Metric                97.0047   -65.2678    0.0000  top
R15       10k                  R_1206_3216Metric               183.1520   -61.1378    0.0000  top
